,國文,英文,數學,社會,自然
0,11,9,9,11,12
1,10,11,9,15,9
2,10,10,13,14,11
3,12,12,12,14,14
4,10,8,9,12,15
5,7,7,6,12,11
6,10,12,12,11,10
7,7,15,11,6,14
8,13,7,7,12,8
9,8,8,11,11,7
10,12,13,12,13,7
11,7,8,9,8,9
12,6,7,8,14,6
13,6,11,8,8,8
14,7,15,12,10,10
15,14,10,14,6,9
16,11,14,8,14,11
17,15,11,6,7,10
18,15,12,10,9,13
19,9,10,10,10,9
20,15,8,9,6,8
21,6,7,15,6,14
22,11,7,15,14,15
23,7,9,13,11,15
24,7,7,13,7,14
25,11,14,10,14,8
26,6,13,9,13,7
27,8,15,15,6,11
28,13,10,15,6,7
29,7,8,12,15,12
30,14,10,15,8,9
31,15,14,11,6,12
32,8,10,7,11,12
33,7,14,14,10,9
34,8,6,7,13,10
35,6,14,12,15,11
36,11,7,10,14,9
37,8,6,14,12,13
38,10,10,14,11,6
39,9,6,10,9,13
40,12,15,9,15,9
41,7,9,11,13,11
42,7,13,8,14,14
43,8,7,14,13,13
44,7,12,11,10,15
45,7,9,12,9,6
46,15,10,7,12,8
47,10,9,11,10,15
48,9,14,8,9,6
49,13,14,7,11,6
50,9,15,14,10,7
51,11,6,14,10,9
52,14,15,15,12,14
53,6,8,9,15,8
54,8,15,8,8,7
55,7,13,7,10,15
56,11,15,14,15,15
57,6,6,14,10,13
58,14,6,7,7,14
59,14,8,14,13,10
60,10,12,6,15,8
61,13,14,13,9,14
62,12,7,12,13,15
63,14,12,10,13,10
64,11,13,13,8,7
65,13,15,7,9,13
66,13,6,13,12,12
67,11,11,10,13,7
68,11,9,8,8,12
69,10,14,15,10,7
70,8,10,14,8,14
71,12,7,13,9,10
72,15,9,15,9,13
73,11,12,12,10,14
74,9,7,7,8,14
75,13,9,11,10,8
76,14,6,10,6,12
77,6,14,15,10,15
78,7,8,15,9,7
79,7,9,13,8,8
80,15,9,15,14,13
81,13,11,15,9,9
82,6,12,14,15,9
83,9,8,10,8,10
84,8,10,15,9,10
85,8,7,10,14,7
86,14,7,9,13,12
87,6,14,15,15,11
88,12,13,8,7,9
89,13,10,14,10,15
90,12,13,13,14,7
91,9,13,8,15,9
92,9,15,6,15,7
93,12,9,13,9,10
94,9,8,14,11,9
95,11,6,10,10,12
96,8,12,7,7,7
97,14,13,7,10,7
98,8,15,13,9,13
99,9,13,11,12,15
